Name;Path;Data Type;Logical Address;Comment;Kind;Station
3a_Two_Axis_Pick_and_Place_0_Rotating;Standard-Variablentabelle;Bool;%E5.2;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Rotating);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Item_Detected;Standard-Variablentabelle;Bool;%E5.3;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Item Detected);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Gripper_Rotating;Standard-Variablentabelle;Bool;%E5.4;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Gripper Rotating);PLC;Standard-Variablentabelle
3b_Diffuse_Sensor_36;Standard-Variablentabelle;Bool;%E6.0;3b | Factory I/O: 3b_Diffuse Sensor 36;PLC;Standard-Variablentabelle
3b_Diffuse_Sensor_38;Standard-Variablentabelle;Bool;%E6.1;3b | Factory I/O: 3b_Diffuse Sensor 38;PLC;Standard-Variablentabelle
3b_Diffuse_Sensor_40;Standard-Variablentabelle;Bool;%E6.2;3b | Factory I/O: 3b_Diffuse Sensor 40;PLC;Standard-Variablentabelle
3b_Left_Positioner_1_Limit;Standard-Variablentabelle;Bool;%E6.3;3b | Factory I/O: 3b_Left Positioner 1 (Limit);PLC;Standard-Variablentabelle
3b_Left_Positioner_1_Clamped;Standard-Variablentabelle;Bool;%E6.4;3b | Factory I/O: 3b_Left Positioner 1 (Clamped);PLC;Standard-Variablentabelle
3b_Right_Positioner_3_Limit;Standard-Variablentabelle;Bool;%E6.5;3b | Factory I/O: 3b_Right Positioner 3 (Limit);PLC;Standard-Variablentabelle
3b_Right_Positioner_3_Clamped;Standard-Variablentabelle;Bool;%E6.6;3b | Factory I/O: 3b_Right Positioner 3 (Clamped);PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Moving_X;Standard-Variablentabelle;Bool;%E6.7;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Moving X);PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Moving_Z;Standard-Variablentabelle;Bool;%E7.0;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Moving Z);PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Rotating;Standard-Variablentabelle;Bool;%E7.1;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Rotating);PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Item_Detected;Standard-Variablentabelle;Bool;%E7.2;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Item Detected);PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Gripper_Rotating;Standard-Variablentabelle;Bool;%E7.3;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Gripper Rotating);PLC;Standard-Variablentabelle
4a_at_Palletizer_machine;Standard-Variablentabelle;Bool;%E8.0;4a | Factory I/O: 4a_at_palletierer machine | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
